"idx","time_to_first_matter","time_to_first_time_entry","time_to_first_bill","time_to_second_user","page_views_in_first_hour","page_views_in_first_day","page_views_in_first_7_days","page_views_in_first_14_days","time_to_conversion","conversion_value"
457,111,,,410,26,28,57,57,,
1161,64191,67108,,,19,70,123,158,,
109,341,,,,13,13,27,27,,
78,,,,,5,5,20,20,,
1222,170,170,901148,,36,55,1230,1510,125625,69
132,,,,,2,3,3,3,,
717,929,929,2073,,96,138,177,210,,
249,,,,,3,3,3,20,,
185,4111,2673,5285,,59,92,92,92,,
56,22025,5086,,,30,64,64,64,,
977,,,,,14,14,14,14,,
519,,,,,12,12,12,12,,
1079,153208,,,,15,19,27,32,,
23,510981,,,,13,13,13,13,,
1129,675869,676143,,,2,3,5,12,67577,49
573,,,,,10,10,10,10,,
41,1609,,3812,,88,612,633,633,,
1130,441,512,,,7,7,7,7,,
430,,279,,,24,24,24,24,,
590,949219,949219,,880220,6,6,6,89,947669,155.25
504,,,,,6,7,7,7,,
669,,,,,5,5,5,5,,
1077,2006,2819,2820,,68,122,122,122,,
900,277,584,,,66,103,104,121,957464,58.65
460,2390,2390,3171,,65,140,140,140,,
783,605,,,,41,41,41,41,,
537,1099571,1120066,,,5,30,41,333,188,58.19
876,,40,,,8,8,8,8,,
802,,,,,1,3,5,5,,
1014,,,,,2,2,2,2,,
91,659,968,1779,,34,34,37,37,,
1055,,,,,4,7,7,23,,
884,,,,,21,21,21,21,,
608,362,964,164585,,48,84,245,246,,
1036,2505,,,,46,46,77,77,,
1121,1126,1126,1126,,8,8,8,8,,
28,785642,,,586,20,26,294,381,5438,615.45
388,,,,,3,3,3,3,,
86,,,,,10,10,17,17,,
469,570,570,,,19,19,30,30,,
756,,,,,14,14,14,14,,
556,,,,,7,7,7,7,,
1150,421703,115,827878,501164,34,34,174,258,501522,138
610,92639,92797,,,4,4,59,125,1052491,87.88
668,1641,1641,1668,,53,77,77,77,,
789,,,,,5,5,5,5,,
565,170,290456,,,37,47,90,90,,
382,,,,,5,5,5,5,,
700,1130506,1130691,,,11,11,13,69,,
675,506414,586454,586538,131,26,26,299,674,55940,110.4
4,,,,,6,6,6,6,,
892,,,,,5,5,5,5,,
467,179943,180497,520602,,25,26,111,135,596954,58.65
736,3716,3779,,,11,42,42,42,,
809,,,,855,111,154,165,165,587511,293.25
44,,,,,54,54,54,54,,
286,77,111085,113140,112419,3,4,149,149,,
988,435,435,435,,65,74,119,119,,
981,,,,,15,15,15,15,,
776,1184,1184,,,11,11,11,11,,
648,70936,79309,76421,,31,115,148,225,,
106,254,254,387,,31,49,49,49,,
138,,,,,4,4,6,6,,
985,,,,,8,8,21,21,,
559,,,,,6,6,6,6,,
1005,184,352,5037,,67,83,161,177,1204386,51.75
806,186801,186801,,,13,14,56,253,175551,38.47
488,,,,,1,1,1,1,,
815,2240,2468,,,21,21,21,21,,
204,3559,3399,,316533,41,46,89,143,,
1209,,,,,11,11,11,11,,
995,187,,,,15,49,49,49,,
1280,80028,90062,,4639,5,200,1683,3243,5385,362.25
409,,,,,2,2,2,2,,
296,286,399,,,67,118,191,191,,
766,,,,,19,19,19,19,,
667,489,489,490,,20,23,23,23,,
1115,,,,,2,2,2,2,,
477,280,146,1213,,26,26,26,26,,
154,,,,,1,7,7,7,,
902,2768,,,,56,57,57,57,,
515,,,,,31,31,31,31,,
522,4633,172308,173312,102027,20,144,513,513,,
344,,,,,7,7,7,7,,
119,43380,43380,,,1,14,14,14,,
458,765,272514,,,24,54,104,116,,
1250,,,,,11,16,16,16,,
396,1039424,,,,13,13,13,20,,
404,209,,,,,,,,,
197,691342,,,1198713,23,34,55,354,,
1254,154,551,,,26,26,26,26,,
290,176655,368363,,259,20,22,157,268,507,103.5
824,,,,,20,20,20,20,,
861,,,,,33,33,35,35,,
8,,,,,20,20,20,20,,
752,,,,,19,19,19,19,,
1057,1134646,1208042,,512,14,25,35,480,15203,621
970,590671,597962,617699,612483,11,27,69,417,593153,49
513,,,,,26,26,26,26,,
733,,,,,23,23,23,23,,
140,355,,,270,30,30,30,30,,
1240,,,,,20,20,20,20,,
241,,,,,8,8,8,8,,
25,,,,,3,3,3,3,,
855,,,,,4,4,4,4,,
1004,,,,,17,17,17,17,,
1272,1017716,1017716,,,2,2,2,94,,
954,,,,,1,1,4,4,,
123,,,,,1,1,1,1,,
